Time,Psi_deg,Psi_err_deg,CTE_m,Surge_u,Sway_v,Yaw_Rate_r_deg,Yaw_Torque_TN,Roll_phi_deg,Roll_Rate_p_deg,Mode,Obs_MinDist_m
27.350000000000254,-2.4057555189562847,-7.932751264014285,0.7671350344306693,0.7502479946376419,0.23808633023556233,-14.123112246528978,53.78025712064067,12.570682400202047,108.8282397177362,LMPC_AVOID,2.2670884597236283
27.400000000000254,-3.0949833494329835,-7.783146710065343,0.7691735378844994,0.7477978797850219,0.2362043528510293,-13.906172311030213,53.393346065997605,18.012094386088858,98.67952095729258,LMPC_AVOID,2.2289529827364203
27.450000000000255,-3.756215769775035,-7.6332830103483165,0.7705822901773594,0.7454921748368754,0.23429935326586715,-13.688670514110905,53.004844933588345,22.94607043395349,84.96342527310384,LMPC_AVOID,2.1910405882090163
27.500000000000256,-4.386491590529084,-7.484066173838879,0.7713230271909598,0.7433279721397636,0.2323738629472541,-13.470750511264113,52.58316951744581,27.194241697608682,68.10433271859677,LMPC_AVOID,2.153352612966802
27.550000000000257,-4.985577832373971,-7.3360353119914965,0.7714044984367726,0.7413022911109624,0.23043026582838005,-13.252642044832008,52.11353352799921,29.999999999999996,48.62661844255683,LMPC_AVOID,2.11588789118975
27.600000000000257,-5.559434066278293,-7.189381047218877,0.7709410436536285,0.7394120610279391,0.22847084231953543,-13.034612772733281,51.595889620499406,29.999999999999996,27.46813803809637,LMPC_AVOID,2.0786388349307434
27.650000000000258,-6.123849355762297,-7.05983683173704,0.7702140978691726,0.7376541187713592,0.22649779020540733,-12.816925999318515,50.41929147574939,29.999999999999996,6.298173650674017,LMPC_AVOID,2.0415871543922246
27.70000000000026,-6.6788385314540495,-6.931810863751487,0.7692263320257793,0.7360252241561435,0.2245132265848752,-12.601590753891747,49.252090652594575,29.999999999999996,-14.883098279020174,LMPC_AVOID,2.0047294415030095
27.75000000000026,-7.224503417502307,-6.802247642668313,0.7679804332032485,0.7345215336146635,0.22251993629541528,-12.388694916637498,48.21677070167016,29.255845086048993,-36.075244378197155,LMPC_AVOID,1.9680624525226138
27.80000000000026,-7.764926879993414,-6.671521188489468,0.7665490694866199,0.733139215615122,0.22052051338808537,-12.177970407421656,47.29118813561803,27.452082867139133,-56.83952679517696,LMPC_AVOID,1.93157893252579
27.85000000000026,-8.305261410738696,-6.539750685470681,0.7650229212999341,0.7318745419660854,0.21851722247571362,-11.969208058073228,46.46484885555623,24.610106527380285,-76.4138533192385,LMPC_AVOID,1.8952706460691084
27.90000000000026,-8.849359266273538,-6.40920862524828,0.7634417838194937,0.730723880078847,0.21651204454804762,-11.762224419630726,45.64335730163248,20.78941386141836,-94.14326406090179,LMPC_AVOID,1.8591310799562657
27.950000000000262,-9.399179313180223,-6.276263777133777,0.7617786410295199,0.7296836893780285,0.2145067059834434,-11.557102322131922,44.97168752537317,16.08225065837327,-109.36975226317301,LMPC_AVOID,1.8231562204558327
28.000000000000263,-9.954420078461219,-6.142991538195061,0.7600746071994224,0.7287504493410943,0.2125028074825941,-11.353504936198233,44.3589413949,10.613763045214618,-121.45593849696768,LMPC_AVOID,1.7873450158606499
28.050000000000264,-10.512383045402458,-6.007486869924672,0.7583415007189569,0.7279207815894051,0.21050165591316233,-11.151352289505374,43.877754793733516,4.540966120366234,-129.8226631522127,LMPC_AVOID,1.7516994706987634
28.100000000000264,-11.068200444631398,-5.882940318324403,0.757249698703017,0.7271913793197882,0.2085043911431649,-10.950352628995432,43.001702026507814,-1.9501670372444018,-134.04642634493462,LMPC_AVOID,1.716224285355614
28.150000000000265,-11.615400955416204,-5.764174882140875,0.7550640454714853,0.7265590675319487,0.20651190810140274,-10.751719180013023,41.96781175072232,-8.652488354491133,-133.88395292682682,LMPC_AVOID,1.6809260083201472
28.200000000000266,-12.146868636601443,-5.644941395823721,0.7524799781184629,0.7260203941355159,0.20452550558751542,-10.555980284474225,41.036254466820964,-15.346686000832472,-129.2103865951832,LMPC_AVOID,1.6458117618090746
28.250000000000266,-12.655847440059604,-5.526111229186499,0.749374377524089,0.7255718273404353,0.20254657857991495,-10.36291400202783,40.16660325956437,-21.807205330591632,-120.11052715019987,LMPC_AVOID,1.6108877584086585
28.300000000000267,-13.13691417661364,-5.408373247570533,0.7456510185958402,0.7252099626662426,0.2005763005807947,-10.172410756426691,39.328717910848695,-27.812731688101625,-106.87107309565678,LMPC_AVOID,1.5761578994016283
28.350000000000268,-13.58677750561214,-5.291717664861112,0.742022869852313,0.7249314933694886,0.198615685504025,-9.984443851349047,38.52220888142227,-29.999999999999996,-89.94705133703019,LMPC_AVOID,1.5416227968117706
28.40000000000027,-14.01911660650853,-5.187000158304352,0.7372158281231252,0.724733189388678,0.19666563371241702,-9.798984220190297,37.319650491881305,-29.999999999999996,-71.73296706170015,LMPC_AVOID,1.5072659164871411
